Exp,Model,Accuracy,F1,ROC-AUC,PR-AUC,Sensitivity,Specificity,PPV,NPV,TN,FP,FN,TP
7,Sequential NN (tf.data),0.7984623833058759,0.8556822650412899,0.8615623785464438,0.9296416069778298,0.8774193548387097,0.6299483648881239,0.8349961627014582,0.7065637065637066,366,215,152,1088
6,Sequential NN Baseline,0.7611202635914333,0.8079470198675497,0.8599814002553994,0.9290149961584835,0.7379032258064516,0.810671256454389,0.8926829268292683,0.5917085427135679,471,110,325,915
10,Sequential L2+FocalLoss,0.7364085667215815,0.7775718257645968,0.8596052412414634,0.928727500412248,0.6766129032258065,0.8640275387263339,0.9139433551198257,0.5559246954595792,502,79,401,839
5,RF + SMOTE,0.7819879187259747,0.8350643955130869,0.8568638609738493,0.9251518694783207,0.8104838709677419,0.7211703958691911,0.8611825192802056,0.6406727828746177,419,162,235,1005
3,Random Forest Regularized,0.7633168588687534,0.8123639529821506,0.8539906168452612,0.9247186424069985,0.7524193548387097,0.7865748709122203,0.8826868495742668,0.5981675392670157,457,124,307,933
2,Logistic Regression L1,0.7578253706754531,0.8052980132450331,0.8529107212259175,0.9215097178460689,0.7354838709677419,0.8055077452667814,0.8897560975609756,0.5879396984924623,468,113,328,912
1,Logistic Regression L2,0.7550796265788029,0.8033509700176367,0.8522333573927044,0.9213560890772595,0.7346774193548387,0.7986230636833046,0.8861867704280155,0.5851197982345523,464,117,329,911
4,Gradient Boosting,0.7797913234486545,0.8442718446601942,0.8492435178502027,0.923494818742697,0.8766129032258064,0.5731497418244407,0.8142322097378277,0.6851851851851852,333,248,153,1087
9,Functional Multi-Branch,0.7199341021416804,0.7688123300090662,0.8132377436011327,0.9051749302053397,0.6838709677419355,0.7969018932874354,0.8778467908902692,0.5415204678362573,463,118,392,848
10,Sequential L2+FocalLoss,0.6210873146622735,0.640625,0.7759494197990118,0.8782232452743572,0.4959677419354839,0.8881239242685026,0.9044117647058824,0.45223488168273446,516,65,625,615
8,Functional Residual,0.5766062602965404,0.5830178474851271,0.7254580534118039,0.8506250528393194,0.4346774193548387,0.8795180722891566,0.8850574712643678,0.42161716171617164,511,70,701,539
